"","age","occupation","dine_out_freq","buy_freq","buy_method","amount_spent","left_over_amount"
"90",25,"employee","Once a week","Twice a week","physical shop",15,"1/5"
"91",31,"employee","Rarely","Everyday","physical shop",3,"0"
"93",22,"employee","Once a week","Twice a week","physical shop",60,"0"
"94",20,"student","Once a week","I am not the one who is shopping","physical shop",50,"25"
"95",24,"employee","Rarely","Twice a week","physical shop",20,"25"
"96",22,"student","Once a week","Twice a week","physical shop",40,"Rarely"
"97",18,"student","Once a week","Everyday","physical shop",20,"25"
"98",20,"student","Everyday","Everyday","physical shop",20,"33.33"
"100",20,"employee","Once a week","I am not the one who is shopping","physical shop",10,"25"
"102",21,"student","Once a week","Twice a week","physical shop",20,"25"
"103",29,"employee","More than 3 times a week","I am not the one who is shopping","physical shop",100,"33.33"
"106",20,"student","Once a week","I am not the one who is shopping","physical shop",12.5,"less than 1/4"
"107",21,"student","Everyday","I am not the one who is shopping","physical shop",10,"0"
"108",20,"student","Once a week","Twice a week","physical shop",25,"33.33"
"109",20,"student","Once a week","I am not the one who is shopping","physical shop",10,"25"
"110",23,"student","More than 3 times a week","Everyday","physical shop",12,"0"
"111",21,"employee","Once a week","Everyday","physical shop",5,"25"
"112",20,"student","Once a week","Twice a week","physical shop",25,"25"
"113",21,"student","Once a week","Twice a week","physical shop",20,"25"
"114",20,"employee","Once a week","I am not the one who is shopping","physical shop",20,"25"
"115",25,"employee","Twice a week","Twice a week","physical shop",50,"0"
"116",21,"student","Once a week","Once a month","physical shop",40,"25"
"117",21,"employee","Everyday","Everyday","physical shop",15,"0"
"118",18,"employee","Twice a week","Everyday","physical shop",15,"25"
"119",28,"employee","Once a week","Once a week","physical shop",20,"0"
"120",20,"student","Once a week","Everyday","physical shop",20,"25"
"121",18,"student","More than 3 times a week","Everyday","physical shop",10,"25"
"122",25,"student","More than 3 times a week","I am not the one who is shopping","physical shop",2,"25"
"123",24,"student","1/month","Everyday","physical shop",5,"25"
"124",20,"employee","Once a week","Twice a week","physical shop",20,"1/5"
"125",28,"employee","Once a week","Twice a week","physical shop",20,"25"
"126",23,"employee","Once a month","Twice a week","physical shop",15,"25"
"127",18,"student","Rarely","I am not the one who is shopping","physical shop",40,"Very little"
"128",21,"student","Once a month","Twice a week","physical shop",20,"25"
"129",23,"student","Never","Twice a week","physical shop",50,"0"
"130",22,"student","Twice a month","Twice a week","physical shop",25,"1/5"
"131",21,"employee","Never","Everyday","online",10,"50"
"132",21,"student","Never","I am not the one who is shopping","physical shop",50,"0"
"133",21,"student","Twice a month","Once a week","physical shop",100,"25"
"134",20,"student","Once a week","Everyday","physical shop",15,"25"
"135",22,"student","More than 3 times a week","Twice a week","physical shop",45,"0"
"136",26,"employee","Everyday","Once a week","physical shop",30,"25"
"137",25,"employee","Twice a week","Once a week","physical shop",75,"just a fraction"
"138",24,"employee","Never","Everyday","physical shop",50,"0"
"139",21,"employee","Once a week","Once a week","physical shop",50,"0"
"140",19,"student","Everyday","Once every 2 week","physical shop",30,"25"
"141",23,"student","Once a week","Once a week","physical shop",60,"25"
"142",21,"student","Twice a week","Once every 2 week","physical shop",60,"0"
"143",26,"employee","Never","I am not the one who is shopping","physical shop",0,"0"
"144",23,"employee","More than 3 times a week","Once a week","online",85,"25"
"145",25,"employee","Once a week","Once every 2 week","physical shop",60,"0"
"146",19,"student","Never","Twice a week","physical shop",60,"0"
"147",21,"employee","More than 3 times a week","Once every 2 week","physical shop",50,"25"
"148",22,"student","Never","Everyday","physical shop",20,"25"
"149",23,"student","More than 3 times a week","Everyday","online",100,"25"
"150",25,"student","Not often. I don’t know. ","Everyday","physical shop",15,"A bit"
"151",25,"student","Once a week","Twice a week","physical shop",30,"0"
"152",24,"employee","Twice a week","Everyday","physical shop",15,"0"
"153",20,"student","Once in a while","Everyday","physical shop",20,"25"
"154",26,"employee","More than 3 times a week","Twice a week","physical shop",25,"33.33"
"155",20,"student","Never","Twice a week","physical shop",50,"25"
